QA_id,chunk_id,chunk_name,Powerpoint,content,Human_Questions,Human_Answers,synthetic_question,synthetic_answer
63,63,userguide_getting_recommendations_chunks_chunk_5,Tia,"# Getting Recommendations
## Excluding Configurations
### Dynamic Exclusion

Dynamic exclusion of candidates means to in-/exclude certain parameter configurations
while you are already in the middle of your experimentation process. Here,
we need to consider two different cases:

* **Recommenders**<br />
  \\\\
  Since recommender queries are [stateless]() with respect to the
  experimental context, you can easily adjust your search space object for each query
  as needed using any of the *permanent* exclusion methods. For example:
  ```python
  # Recommendation with full search space
  searchspace_full = CategoricalParameter(""p"", [""A"", ""B"", ""C""]).to_searchspace()
  recommender.recommend(batch_size, searchspace_full, objective, measurements)

  # Recommendation with reduced search space
  searchspace_reduced = TaskParameter(
      ""p"", [""A"", ""B"", ""C""], active_values=[""A"", ""B""]
  ).to_searchspace()
  recommender.recommend(batch_size, searchspace_reduced, objective, measurements)
  ```
* **Campaigns**<br />
  \\\\
  Because the search space must be defined before a
  `Campaign` object can be created, a different approach is
  required for [stateful queries](). For this purpose,
  `Campaign`s provide a
  `toggle_discrete_candidates()` method that allows to
  dynamically enable or disable specific candidates while the campaign is running.
  The above example thus translates to:
  ```python
  campaign = Campaign(searchspace_full, objective, measurements)
  campaign.add_measurements(measurements)

  # Recommendation with full search space
  campaign.recommend(batch_size)

  # Exclude *matching* rows
  campaign.toggle_discrete_candidates(
      pd.DataFrame({""p"": [""C""]}),
      exclude=True,
  )
  # Alternatively: Exclude *non-matching* rows
  campaign.toggle_discrete_candidates(
      pd.DataFrame({""p"": [""A"", ""B""]}),
      complement=True,
      exclude=True,
  )

  # Recommend from reduced search space using altered candidate set
  campaign.recommend(batch_size)
  ```

  Note that you can alternatively toggle candidates by passing the appropriate
  `DiscreteConstraint` objects.
  For more details, see `toggle_discrete_candidates()`.:class: attention

Currently, dynamic exclusion via toggling is only possible for discrete candidates.
To restrict the set of continuous candidates, use
{class}`~baybe.constraints.base.ContinuousConstraint`s when creating the space.:class: seealso

{class}`~baybe.campaign.Campaign`s allow you to further control the candidate
generation based on the experimental trajectory taken via their `allow_*` 
{ref}`flags <userguide/campaigns:Candidate Control in Discrete Spaces>`.",Why I got error when using toggle_discrete_candidates?,pip install baybe[chem],What method do Campaign objects provide to dynamically enable or disable specific candidates while running?,`toggle_discrete_candidates()`
64,64,userguide_insights_chunks_chunk_2,2,"# Insights
In BayBE, insights provide a way of analyzing your experimental results beyond what is
required for the basic measure-recommend loop. Dependencies needed for insights are
optional and available by installing `baybe` with the respective dependency group, e.g.
via `pip install baybe[insights]`.

## Parameter Importance via SHAP

[**SH**apley **A**dditive ex**P**lanations](https://shap.readthedocs.io/en/latest/index.html)
are a popular way of interpreting models to gain insight into the importance of the
features utilized. In the context of Bayesian optimization (BO), this enables analyzing
the importance of the parameters spanning the search space. This can be useful
for identifying which parameters play a key role and which do not â learnings that can
be applied in designing future campaigns. The interface is provided by the
[`SHAPInsight`]() class.",Can BayBE explain the recommendations?,,What is the method used in BayBE to analyze the importance of features in Bayesian optimization?,SHAP (SHapley Additive exPlanations).
65,65,userguide_insights_chunks_chunk_3,3,"# Insights
## Parameter Importance via SHAP
### Basic Usage

A [`SHAPInsight`]() can be obtained in several ways:

- From a [`Campaign`]() via
  [`from_campaign`]():
  ```python
  insight = SHAPInsight.from_campaign(campaign)
  ```
- From a surrogate model via [`from_surrogate`]():
  ```python
  insight = SHAPInsight.from_surrogate(surrogate, data)
  ```
- From a recommender that has an underlying surrogate model and implements
  [`get_surrogate`]()
  via [`from_recommender`]():
  ```python
  insight = SHAPInsight.from_recommender(recommender, searchspace, objective, data)
  ```

In these examples, `data` is the background data used to build the underlying explainer
model. Typically, you would set this to the measurements obtained during your
experimental campaign (for instance, [`from_campaign`]()
automatically extracts the `measurements` from the `campaign` object).",How can I compute parameter importance?,"SHAP parameter importance can be computed with the factory methods `from_campaign()`, `from_surrogate()`, and `from_recommender()` as shown below: ```python  �  ```",How can a SHAPInsight be obtained from a campaign?,By using the method `SHAPInsight.from_campaign(campaign)`.
66,66,userguide_insights_chunks_chunk_4,4,"# Insights
## Parameter Importance via SHAP
### Plots

After creating the insight, various methods are available to visualize the results via
the [.plot]()
interface, please refer to [available SHAP plots]().

```python
insight.plot(""bar"")
```

![SHAP_Bar_Exp_Rep](_static/insights/shap_bar_exp_rep.svg)

This result agrees well with the chemical intuition that ligands are the most important
reactants to activate the conversion, resulting in higher yields.

Such plots can also be created for data sets other than the background data that
was used to generate the insight. If this is desired, pass your data frame as second
argument:

```python
insight.plot(""beeswarm"", new_measurements)
```

![SHAP_Beeswarm_Exp_Rep](_static/insights/shap_beeswarm_exp_rep.svg)

The `force` plot type requires the user to additionally select which single data point
they want to visualize by specifying the corresponding `explanation_index`:

```python
insight.plot(
    ""force"", explanation_index=3
)  # plots the force analysis of the measurement at positional index 3
```

![SHAP_Force](_static/insights/shap_force.svg)",What explainability methods are available in bayBE?,,What type of plot requires the user to specify an explanation index to visualize a single data point?,"The ""force"" plot type."
67,67,userguide_insights_chunks_chunk_5,5,"# Insights
## Parameter Importance via SHAP
### Explainers

In general, SHAP is an exhaustive method testing all combinations of features. This
exhaustive algorithm (implemented by the [`shap.ExactExplainer`](https://shap.readthedocs.io/en/stable/generated/shap.ExactExplainer.html#shap.ExactExplainer) class) is
often not feasible in practice, and various approximate variants are available (see
[supported explainers]()). For details about their inner
mechanics, we refer to the [SHAP documentation](https://shap.readthedocs.io/en/latest/api.html#explainers).

The explainer can be changed when creating the insight:

```python
insight = SHAPInsight.from_campaign(
    campaign, explainer_cls=""KernelExplainer""
)  # default explainer
```",I want to interpret the results BayBE provided. What do I do?,,What is the default explainer used in SHAPInsight?,KernelExplainer
68,68,userguide_insights_chunks_chunk_6,6,"# Insights
## Parameter Importance via SHAP
### Experimental and Computational Representations

[`SHAPInsight`]() by default analyzes the experimental
representation of the measurements, i.e. the that specifies parameter and target values
in terms of their actual (physical) quantities. This comes with certain limitations:

A feature importance study can still be performed by looking at the computational
representation of the data points, activated by the `use_comp_rep` flag. Since all
entries in this representation are numeric by construction, there are no limitations on
the explainer type used. A study of the computational representation might also be
useful if a deeper analysis of descriptors used is of interest to the user. In general,
for each non-numerical parameter in the experimental representation, there will be
several descriptors the computational representation:

```python
insight = SHAPInsight.from_campaign(campaign, use_comp_rep=True)
insight.plot(""bar"")
```

![SHAP_Bar_Comp_Rep](_static/insights/shap_bar_comp_rep.svg)

In addition to SHAP-based explainers, we also support
[LIME](https://arxiv.org/abs/1602.04938) and
[MAPLE](https://papers.nips.cc/paper_files/paper/2018/hash/b495ce63ede0f4efc9eec62cb947c162-Abstract.html)
variants. For example:

```python
insight = SHAPInsight.from_campaign(
    campaign, explainer_cls=""LimeTabular"", use_comp_rep=True
)
insight.plot(""bar"")
```

![SHAP_Bar_Lime](_static/insights/shap_bar_lime.svg)

As expected, the result from [`LimeTabular`](https://shap.readthedocs.io/en/stable/generated/shap.explainers.other.LimeTabular.html#shap.explainers.other.LimeTabular) are very
similar to the results from the SHAP [`KernelExplainer`](https://shap.readthedocs.io/en/stable/generated/shap.KernelExplainer.html#shap.KernelExplainer) because
both methods involve linear local approximations.",,,What flag is used to activate the computational representation in SHAPInsight?,use_comp_rep
69,69,userguide_objectives_chunks_chunk_2,4,"# Objective
Optimization problems involve either a single target quantity of interest or several
(potentially conflicting) targets that need to be considered simultaneously. BayBE uses
the concept of an [`Objective`]() to allow the user to
control how these different types of scenarios are handled.

## SingleTargetObjective

The need to optimize a single [`Target`]() is the most basic
type of situation one can encounter in experimental design.
In this scenario, the fact that only one target shall be considered in the design is
communicated to BayBE by wrapping the target into a
[`SingleTargetObjective`]():

```python
from baybe.targets import NumericalTarget
from baybe.objectives import SingleTargetObjective

target = NumericalTarget(name=""Yield"", mode=""MAX"")
objective = SingleTargetObjective(target)
```

In fact, the role of the
[`SingleTargetObjective`]()
is to merely signal the absence of other [`Targets`]()
in the optimization problem.
Because this fairly trivial conversion step requires no additional user configuration,
we provide a convenience constructor for it::class: tip
* The conversion from a single [`Target`](baybe.targets.base.Target) to a [`SingleTargetObjective`](baybe.objectives.single.SingleTargetObjective) describes a one-to-one relationship and can be triggered directly from the corresponding target object:
  ```python
  objective = target.to_objective()
  ```
* Also, other class constructors that expect an  [`Objective`](baybe.objectives.base.Objective) object (such as [`Campaigns`](baybe.campaign.Campaign)) will happily accept individual [`Targets`](baybe.targets.base.Target) instead and apply the necessary
conversion behind the scenes.",No,,What is the purpose of the `SingleTargetObjective` in BayBE?,The `SingleTargetObjective` signals the absence of other targets in the optimization problem.
70,70,userguide_objectives_chunks_chunk_3,6,"# Objective
## DesirabilityObjective

The [`DesirabilityObjective`]()
enables the combination of multiple targets via scalarization into a single numerical
value (commonly referred to as the *overall desirability*), a method also utilized in
classical DOE.:class: attention
Since measurements of different targets can vary arbitrarily in scale, all targets
passed to a
[`DesirabilityObjective`](baybe.objectives.desirability.DesirabilityObjective) must be
normalizable to enable meaningful combination into desirability values. This requires
that all provided targets must have `bounds` specified (see [target user
guide](/userguide/targets.md)).
If provided, the necessary normalization is taken care of automatically. 
Otherwise, an error will be thrown.

Besides the list of [`Targets`]()
to be scalarized, this objective type takes two
additional optional parameters that let us control its behavior:

* `weights`: Specifies the relative importance of the targets in the form of a
  sequence of positive numbers, one for each target considered.<br />
  \\\\
  **Note:**
  BayBE automatically normalizes the weights, so only their relative
  scales matter.
* `scalarizer`: Specifies the [scalarization function]()
  to be used for combining the normalized target values.
  The choices are `MEAN` and `GEOM_MEAN`, referring to the arithmetic and
  geometric mean, respectively.

The definitions of the `scalarizer`s are as follows, where $\{t_i\}$ enumerate the
**normalized** target measurements of single experiment and $\{w_i\}$ are the
corresponding target weights:

$$

\text{MEAN} &= \frac{1}{\sum w_i}\sum_{i} w_i \cdot t_i \\
\text{GEOM_MEAN} &= \left( \prod_i t_i^{w_i} \right)^{1/\sum w_i}
$$

In the example below, we consider three different targets (all associated with a
different goal) and give twice as much importance to the first target relative to each
of the other two:

```python
from baybe.targets import NumericalTarget
from baybe.objectives import DesirabilityObjective

target_1 = NumericalTarget(name=""t_1"", mode=""MIN"", bounds=(0, 100))
target_2 = NumericalTarget(name=""t_2"", mode=""MIN"", bounds=(0, 100))
target_3 = NumericalTarget(name=""t_3"", mode=""MATCH"", bounds=(40, 60))
objective = DesirabilityObjective(
    targets=[target_1, target_2, target_3],
    weights=[2.0, 1.0, 1.0],  # optional (by default, all weights are equal)
    scalarizer=""GEOM_MEAN"",  # optional
)
```

For a complete example demonstrating desirability mode, see [here]().",,,What are the two available scalarization functions in the DesirabilityObjective?,MEAN and GEOM_MEAN.
71,71,userguide_objectives_chunks_chunk_4,3,"# Objective
## ParetoObjective

The [`ParetoObjective`]() can be used when the goal is to find a set of solutions that represent optimal trade-offs among multiple conflicting targets. Unlike the [`DesirabilityObjective`](), this approach does not aggregate the targets into a single scalar value but instead seeks to identify the Pareto front - the set of *non-dominated* target configurations.

Tip: A target configuration is considered non-dominated (or Pareto-optimal) if no other configuration is better in *all* targets.

Identifying the Pareto front requires maintaining explicit models for each of the targets involved. Accordingly, it requires to use acquisition functions capable of processing vector-valued input, such as `qLogNoisyExpectedHypervolumeImprovement`. This differs from the [`DesirabilityObjective`](), which relies on a single predictive model to describe the associated desirability values. However, the drawback of the latter is that the exact trade-off between the targets must be specified *in advance*, through explicit target weights. By contrast, the Pareto approach allows to specify this trade-off *after* the experiments have been carried out, giving the user the flexibly to adjust their preferences post-hoc - knowing that each of the obtained
points is optimal with respect to a particular preference model.

To set up a [`ParetoObjective`](), simply specify the corresponding target objects:

```python
from baybe.targets import NumericalTarget
from baybe.objectives import ParetoObjective

target_1 = NumericalTarget(name=""t_1"", mode=""MIN"")
target_2 = NumericalTarget(name=""t_2"", mode=""MAX"")
objective = ParetoObjective(targets=[target_1, target_2])
```",What is the difference between a Pareto objective and a desirability objective?,The pareto objective does not aggregate targets into a single scalar value but instead seeks to identify the Pareto front which consists of the set of non-dominated target configurations. This means that for all points in the pareto front no other configuration is better in all targets.,What does the `ParetoObjective` aim to identify in multi-target optimization?,"The `ParetoObjective` aims to identify the Pareto front, which is the set of non-dominated target configurations."
72,72,userguide_parameters_chunks_chunk_3,6,"# Parameters

Parameters are fundamental for BayBE, as they configure the [`SearchSpace`]() and serve
as the direct link to the controllable variables in your experiment.
Before starting an iterative campaign, the user is required to specify the exact
parameters they can control and want to consider in their optimization.
note
BayBE identifies each parameter by a ``name``. All parameter names in one 
campaign must be unique.
BayBE distinguishes two parameter types, because they need to be treated very
differently under the hood: Discrete and continuous parameters.

## Continuous Parameters
### NumericalContinuousParameter

This is currently the only continuous parameter type BayBE supports.
It defines possible values from a numerical interval called
`bounds`, and thus has an infinite amount of possibilities.
Unless restrained by [`Constraint`]()s, BayBE will consider any possible parameter value
that lies within the chosen interval.

```python
from baybe.parameters import NumericalContinuousParameter

NumericalContinuousParameter(
    name=""Temperature"",
    bounds=(0, 100),
)
```",,,What is the only continuous parameter type supported by BayBE?,NumericalContinuousParameter
73,73,userguide_parameters_chunks_chunk_5,5,"# Parameters
## Discrete Parameters
A discrete parameter has a finite set of possible values that can be recommended.
These values can be numeric or label-like (i.e. strings) and are transformed
internally before being ingested by the surrogate model.

### NumericalDiscreteParameter

This is the right type for parameters that have numerical values.
We support sets with equidistant values like `(1, 2, 3, 4, 5)` but also unevenly
spaced sets of numbers like `(0.2, 1.0, 2.0, 5.0, 10.0, 50.0)`.

```python
from baybe.parameters import NumericalDiscreteParameter

NumericalDiscreteParameter(
    name=""Temperature"",
    # you can also use np.arange or similar to provide values
    values=(0, 10, 20, 30, 40, 50),
)
```",Which parameter type do I use if I allow my�variables to have discrete and numerical values?,,What is an example of a numerical discrete parameter in the provided context?,"Temperature with values (0, 10, 20, 30, 40, 50)."
74,74,userguide_parameters_chunks_chunk_6,7,"# Parameters
## Discrete Parameters
### CategoricalParameter

A [`CategoricalParameter`]() supports sets of strings as labels.
This is most suitable if the experimental choices cannot easily be translated into a
number.
Examples for this could be vendors like `(""Vendor A"", ""Vendor B"", ""Vendor C"")` or
post codes like `(""PO16 7GZ"", ""GU16 7HF"", ""L1 8JQ"")`.

Categorical parameters in BayBE can be encoded via integer or one-hot encoding.
For some cases, such basic forms of encoding make sense, e.g. if we had a parameter
for a setting with values
`(""low"", ""medium"", ""high"")`, an integer-encoding into values `(1, 2, 3)` would
be reasonable.

```python
from baybe.parameters import CategoricalParameter

CategoricalParameter(
    name=""Intensity"",
    values=(""low"", ""medium"", ""high""),
    active_values=(
        ""low"",  # optional, only combinations with Intensity=low will be recommended
    ),
    encoding=""INT"",  # optional, uses integer encoding as described above
)
```

However, in other cases, these encodings would introduce undesired biases to the model.
Take, for instance, a parameter for a choice of solvents with values
`(""Solvent A"", ""Solvent B"", ""Solvent C"")`. Encoding these with `(1, 2, 3)` as
above would imply that âSolvent Aâ is more similar to âSolvent Bâ than to âSolvent Câ,
simply because the number 1 is closer to 2 than to 3.
Hence, for an arbitrary set of labels, such an ordering cannot generally be assumed.
In the particular case of substances, it not even possible to describe the similarity
between labels by ordering along one single dimension.
For this reason, we also provide the [`SubstanceParameter`](), which encodes labels
corresponding to small molecules with chemical descriptors, capturing their similarities
much better and without the need for the user to think about ordering and similarity
in the first place.
This concept is generalized in the [`CustomDiscreteParameter`](), where the user can
provide their own custom set of descriptors for each label.",,,What type of parameter supports sets of strings as labels in BayBE?,CategoricalParameter
75,75,userguide_parameters_chunks_chunk_7,Tia,"# Parameters
## Discrete Parameters
### SubstanceParameter

Instead of `values`, this parameter accepts `data` in form of a dictionary. The
items correspond to pairs of labels and [SMILES](https://en.wikipedia.org/wiki/Simplified_molecular-input_line-entry_system).
SMILES are string-based representations of molecular structures.
Based on these, BayBE can assign each label a set of molecular descriptors as encoding.

For instance, a parameter corresponding to a choice of solvents can be initialized with:

```python
from baybe.parameters import SubstanceParameter

SubstanceParameter(
    name=""Solvent"",
    data={
        ""Water"": ""O"",
        ""1-Octanol"": ""CCCCCCCCO"",
        ""Toluene"": ""CC1=CC=CC=C1"",
    },
    active_values=[  # optional, recommends only water and toluene as solvent
        ""Water"",
        ""Toluene"",
    ],
    encoding=""MORDRED"",  # optional
    decorrelate=0.7,  # optional
)
```

The `encoding` defines what kind of descriptors are calculated using the
[scikit-fingerprints](https://scikit-fingerprints.github.io/scikit-fingerprints/) package.
It can be specified either by passing the corresponding [`SubstanceEncoding`]() member
(click to see full list of options) or its string representation, e.g. use
[`SubstanceParameter.MORDRED`]()
or its string alias `""MORDRED""` to select the `MordredFingerprint`.

Here are examples of a few popular fingerprints:

* `ECFP`: Extended Connectivity FingerPrint,
  which is a circular topological fingerprint similar to Morgan fingerprint.
* `MORDRED`: Chemical descriptor based fingerprint.
* `RDKIT`: The RDKit fingerprint, which is based on hashing of molecular subgraphs.

You can customize the fingerprint computation by passing arguments of the corresponding
[scikit-fingerprints](https://scikit-fingerprints.github.io/scikit-fingerprints/) class to the `kwargs_fingerprint` argument the [`SubstanceParameter`]() constructor.
Similarly, for fingerprints requiring conformers,
the configuration options for conformer computation can be specified via `kwargs_conformer`.

```python
from baybe.parameters import SubstanceParameter

SubstanceParameter(
    name=""Solvent"",
    data={
        ""Water"": ""O"",
        ""1-Octanol"": ""CCCCCCCCO"",
        ""Toluene"": ""CC1=CC=CC=C1"",
    },
    encoding=""ECFP"",
    kwargs_fingerprint={
        ""radius"": 4,  # Set maximum radius of resulting subgraphs
        ""fp_size"": 1024,  # Change the number of computed bits
    },
)

```

These calculations will typically result in 500 to 1500 numbers per molecule.
To avoid detrimental effects on the surrogate model fit, we reduce the number of
descriptors via decorrelation before using them.
For instance, the `decorrelate` option in the example above specifies that only
descriptors with a correlation lower than 0.7 to any other descriptor will be kept.
This usually reduces the number of descriptors to 10-50, depending on the specific
items in `data`.

#### WARNING
The descriptors calculated for a [`SubstanceParameter`]() were developed to describe
small molecules and are not suitable for other substances. If you deal with large
molecules like polymers or arbitrary substance mixtures, we recommend to provide your
own descriptors via the [`CustomDiscreteParameter`]().

:class: note
The ``SubstanceParameter`` is only available if BayBE was installed with the 
additional ``chem`` dependency.",How to create chemical SubstanceParameter? ,"from baybe.parameters import SubstanceParameter

SubstanceParameter(
    name=""Solvent"",
    data={
        ""Water"": ""O"",
        ""1-Octanol"": ""CCCCCCCCO"",
        ""Toluene"": ""CC1=CC=CC=C1"",
    },
    active_values=[  # optional, recommends only water and toluene as solvent
        ""Water"",
        ""Toluene"",
    ],
    encoding=""MORDRED"",  # optional
    decorrelate=0.7,  # optional
)",What type of data does the SubstanceParameter accept?,A dictionary in the form of pairs of labels and SMILES.
76,76,userguide_parameters_chunks_chunk_8,8,"# Parameters
## Discrete Parameters
### CustomDiscreteParameter

The `encoding` concept introduced above is generalized by the
[`CustomDiscreteParameter`]().
Here, the user is expected to provide their own descriptors for the encoding.

Take, for instance, a parameter that corresponds to the choice of a polymer.
Polymers are not well represented by the small molecule descriptors utilized in the
[`SubstanceParameter`]().
Still, one could provide experimental measurements or common metrics used to classify
polymers:

```python
import pandas as pd
from baybe.parameters import CustomDiscreteParameter

descriptors = pd.DataFrame(
    {
        ""Glass_Transition_TempC"": [20, -71, -39],
        ""Weight_kDalton"": [120, 32, 241],
    },
    index=[""Polymer A"", ""Polymer B"", ""Polymer C""],  # put labels in the index
)

CustomDiscreteParameter(
    name=""Polymer"",
    data=descriptors,
    active_values=(  # optional, enforces that only Polymer A or C is recommended
        ""Polymer A"",
        ""Polymer C"",
    ),
    decorrelate=True,  # optional, uses default correlation threshold
)
```

With the [`CustomDiscreteParameter`](), you can also encode parameter labels that have
nothing to do with substances.
For example, a parameter corresponding to the choice of a vendor is typically not
easily encoded with standard means.
In BayBEâs framework, you can provide numbers corresponding e.g. to delivery time,
reliability or average price of the vendor to encode the labels via the
[`CustomDiscreteParameter`]().",,,What is the purpose of the `CustomDiscreteParameter` in BayBE's framework?,"The `CustomDiscreteParameter` allows users to provide their own descriptors for encoding parameters that are not well represented by standard means, such as polymer choices or vendor selection."
77,77,userguide_parameters_chunks_chunk_9,9,"# Parameters
## Discrete Parameters
### TaskParameter

Often, several experimental campaigns involve similar or even identical parameters but
still have one or more differences.
For example, when optimizing reagents in a chemical reaction, the reactants remain
constant, so they are not parameters.
Similarly, in a mixture development for cell culture media, the cell type is fixed and
hence not a parameter.
However, once we plan to mix data from several campaigns, both reactants and cell
lines can also be considered parameters in that they encode the necessary context.
BayBE is able to process such context information with the [`TaskParameter`]().
In many cases, this can drastically increase the optimization performance due to the
enlarged data corpus.

#### SEE ALSO
For details, refer to [transfer learning](transfer_learning.md).",What do I do if I have parameters which were constant but are now subject to change when I add more data?,,What is the purpose of the `TaskParameter` in BayBE?,"The `TaskParameter` is used to process context information, which can drastically increase optimization performance by enlarging the data corpus."
78,78,userguide_recommenders_chunks_chunk_3,3,"# Recommenders

## General Information

Recommenders are an essential part of BayBE that effectively explore the search space
and provide recommendations for the next experiment or batch of experiments.
Available recommenders can be partitioned into the following subclasses.

## Pure Recommenders

Pure recommenders simply take on the task to recommend measurements. They each contain
the inner logic to do so via different algorithms and approaches.
While some pure recommenders are versatile and work across different types of search
spaces, other are specifically designed for discrete or continuous spaces. The
compatibility is indicated via the corresponding `compatibility` class variable.",What is a recommender?,Recommenders explore the search space and provide recommendations for the next experiment or batch.,What are the two types of recommenders mentioned in the document?,Pure recommenders and other subclasses of recommenders.
79,79,userguide_recommenders_chunks_chunk_4,5,"# Recommenders
## Pure Recommenders
### Bayesian Recommenders

The Bayesian recommenders in BayBE are built on the foundation of the
[`BayesianRecommender`]()
class, offering an array of possibilities with internal surrogate models and support
for various acquisition functions.

* The **[`BotorchRecommender`]()**
  is a powerful recommender based on BoTorchâs optimization engine that can be applied
  to all kinds of search spaces. In continuous spaces, its `sequential_continuous` flag
  allows to choose between greedy sequential optimization and batch optimization as the
  underlying point generation mode. In discrete/hybrid spaces, sequential greedy
  selection is the only available mode and is thus activated automatically.

  Note that the recommender performs a brute-force search when applied to hybrid search
  spaces, as it does gradient-based optimization in the continuous part of the space
  while exhaustively evaluating configurations of the discrete subspace. You can customize this
  behavior to only sample a certain percentage of the discrete subspace via the
  `sampling_percentage`
  argument and to choose different sampling algorithms via the
  `hybrid_sampler`
  argument.

  The gradient-based optimization part can also further be controlled by the
  `n_restarts` and
  `n_raw_samples`
  arguments. For details, please refer
  to [BotorchRecommender]().
* The **[`NaiveHybridSpaceRecommender`]()**
  can be applied to all search spaces, but is intended to be used in hybrid spaces.
  This recommender combines individual recommenders for the continuous and the discrete
  subspaces. It independently optimizes each subspace and consolidates the best results
  to generate a candidate for the original hybrid space.",My optimization is too slow. How can I speed up?,,What is the name of the recommender based on BoTorch’s optimization engine?,BotorchRecommender
80,80,userguide_recommenders_chunks_chunk_5,6,"# Recommenders
## Pure Recommenders
### Clustering Recommenders

BayBE offers a set of recommenders leveraging techniques to facilitate point selection
via clustering:

* **[`PAMClusteringRecommender`]():**
  This recommender utilizes partitioning around medoids.
* **[`KMeansClusteringRecommender`]():**
  This recommender implements k-means clustering.
* **[`GaussianMixtureClusteringRecommender`]():**
  This recommender leverages Gaussian Mixture Models for clustering.",,,What clustering technique does PAMClusteringRecommender use?,Partitioning around medoids.
81,81,userguide_recommenders_chunks_chunk_6,7,"# Recommenders
## Pure Recommenders
### Sampling Recommenders

BayBE provides two recommenders that recommend by sampling form the search space:

* **[`RandomRecommender`]():**
  This recommender offers random recommendations for all types of search spaces.
  It is extensively used in backtesting examples, providing a valuable comparison.

* **[`FPSRecommender`]():**
  This recommender is only applicable for discrete search spaces, and recommends points
  based on farthest point sampling.",,,What type of search spaces does the FPSRecommender operate on?,Discrete search spaces.
82,82,userguide_recommenders_chunks_chunk_7,8,"# Recommenders
## Meta Recommenders

In analogy to meta studies, meta recommenders are wrappers that operate on a sequence
of pure recommenders and determine when to switch between them according to different
logics. BayBE offers three distinct kinds of meta recommenders.

* The
  [`TwoPhaseMetaRecommender`]()
  employs two distinct recommenders and switches between them at a certain specified
  point, controlled by the `switch_after` attribute. This is useful e.g. if you want a
  different recommender for the initial recommendation when there is no data yet
  available. This simple example would recommend randomly for the first batch and switch
  to a Bayesian recommender as soon as measurements have been ingested:

```python
from baybe.recommenders import (
    BotorchRecommender,
    TwoPhaseMetaRecommender,
    RandomRecommender,
)

recommender = TwoPhaseMetaRecommender(
    initial_recommender=RandomRecommender(), recommender=BotorchRecommender()
)
```

* The **[`SequentialMetaRecommender`]()**
  introduces a simple yet versatile approach by utilizing a predefined list of
  recommenders. By specifying the desired behavior using the `mode` attribute, it is
  possible to flexibly determine the meta recommenderâs response when it exhausts the
  available recommenders. The possible choices are to either raise an error, re-use the
  last recommender or re-start at the beginning of the sequence.
* Similar to the `SequentialMetaRecommender`, the
  **[`StreamingSequentialMetaRecommender`]()**
  enables the utilization of *arbitrary* iterables to select recommender.

  #### WARNING
  Due to the arbitrary nature of iterables that can be used, (de-)serializability cannot
  be guaranteed. As a consequence, using a `StreamingSequentialMetaRecommender` results
  in an error if you attempt to serialize the corresponding object or higher-level
  objects containing it.",,,What is the purpose of the `TwoPhaseMetaRecommender` in BayBE?,It employs two distinct recommenders and switches between them at a specified point controlled by the `switch_after` attribute.
83,83,userguide_searchspace_chunks_chunk_1,3,"# Search Spaces

The term âsearch spaceâ refers to the domain of possible values for the parameters that are being optimized during a campaign. A search space represents the space within which BayBE explores and searches for the optimal solution. It is implemented via the [`SearchSpace`]() class.

Note that a search space is not necessarily equal to the space of allowed measurements. That is, if configured properly, it is possible to add measurements to a campaign that are not part of the search space. For instance, a numerical parameter with values `1.0`, `2.0`, `5.0` will create a searchspace with these numbers, but you can also add measurements where the parameter has a value of e.g. `2.12`.

In BayBE, a search space is a union of two (potentially empty) subspaces. The [`SubspaceDiscrete`]() contains all discrete parameters, while the [`SubspaceContinuous`]() contains all continuous parameters.

Depending on which of the subspaces are non-empty, a `SearchSpace` has exactly one of the three [`SearchSpaceType`]()âs:

| `SubspaceDiscrete`   | `SubspaceContinuous`   | [`SearchSpaceType`]()            |
|----------------------|------------------------|----------------------------------|
| Non-empty            | Empty                  | [`SearchSpaceType.DISCRETE`]()   |
| Empty                | Non-Empty              | [`SearchSpaceType.CONTINUOUS`]() |
| Non-Empty            | Non-empty              | [`SearchSpaceType.HYBRID`]()     |","Can you explain search space, subspace and search space type?","The `SearchSpace` contains all possible values of all parameters of the optimization campaign. It consists of two, potentially empty subspaces: One for the discrete (`SubspaceDiscrete`) and one for the continuous (`SubspaceContinuous`) parameters. Depending on which of them is empty, the `SearchSpaceType` is either `DISCRETE`, `CONTINUOUS`, or `HYBRID` (in case both are on-empty).",What class implements the search space in BayBE?,The `SearchSpace` class.
84,84,userguide_searchspace_chunks_chunk_11,6,"# Search Spaces
## Constructing Full Search Spaces

There are several methods available for creating full search spaces.
### From the Default Constructor

It is possible to construct a search space by simply using the default constructor of the `SearchSpace` class.
The required parameters are derived from the `__init__` function of that class.
In the simplest setting, it is sufficient to provide a single subspace for creating either a discrete or continuous search, or provide two subspaces for creating a hybrid search space.

```python
searchspace = SearchSpace(discrete=discrete_subspace, continuous=continuous_subspace)
```

While this constructor is the default choice, it might not be the most convenient.
Consequently, other constructors are available.### Building from the Product of Parameter Values

The function [`SearchSpace.from_product`]() is analog to the corresponding function available for `SubspaceDiscrete`, but allows the parameter list to contain both discrete and continuous parameters.",,,How can a search space be constructed using the `SearchSpace` class?,"A search space can be constructed by using the default constructor of the `SearchSpace` class, providing either a single subspace for discrete or continuous search, or two subspaces for a hybrid search space."
